node_id,parent_id,level,name_en,name_zh,slug,source_type,source_url,status,example_product_types,case_folder,notes
amazon-best-sellers,,L0,Amazon Best Sellers,亚马逊热销榜,amazon-best-sellers,public_framework,,in_progress,,catalog/,Root framework
appliances,amazon-best-sellers,L1,Appliances,家用电器,appliances,user_screenshot/manual,,in_progress,service plan concept; 2 burner electric cooktop; countertop dishwasher; chest freezer; countertop ice maker,cases/appliances/,Public generic taxonomy
appliances.appliance-warranties,appliances,L2,Appliance Warranties,家电保修,appliance-warranties,user_screenshot/manual,,planned,service plan concept; warranty card mockup,cases/appliances/appliance-warranties/,Generic examples only
appliances.appliance-warranties.service-plan-concept,appliances.appliance-warranties,L4,Service Plan Concept,,service-plan-concept,manual,,placeholder,service plan concept,cases/appliances/appliance-warranties/service-plan-concept/,Derived product type
appliances.appliance-warranties.warranty-card-mockup,appliances.appliance-warranties,L4,Warranty Card Mockup,,warranty-card-mockup,manual,,placeholder,warranty card mockup,cases/appliances/appliance-warranties/warranty-card-mockup/,Derived product type
appliances.cooktops,appliances,L2,Cooktops,炉灶面,cooktops,user_screenshot/manual,,planned,2 burner electric cooktop; gas cooktop; portable induction cooktop,cases/appliances/cooktops/,Generic examples only
appliances.cooktops.2-burner-electric-cooktop,appliances.cooktops,L4,2 Burner Electric Cooktop,,2-burner-electric-cooktop,manual,,placeholder,2 burner electric cooktop,cases/appliances/cooktops/2-burner-electric-cooktop/,Derived product type
appliances.cooktops.gas-cooktop,appliances.cooktops,L4,Gas Cooktop,,gas-cooktop,manual,,placeholder,gas cooktop,cases/appliances/cooktops/gas-cooktop/,Derived product type
appliances.cooktops.portable-induction-cooktop,appliances.cooktops,L4,Portable Induction Cooktop,,portable-induction-cooktop,manual,,placeholder,portable induction cooktop,cases/appliances/cooktops/portable-induction-cooktop/,Derived product type
appliances.dishwashers,appliances,L2,Dishwashers,洗碗机,dishwashers,user_screenshot/manual,,planned,countertop dishwasher; portable dishwasher,cases/appliances/dishwashers/,Generic examples only
appliances.dishwashers.countertop-dishwasher,appliances.dishwashers,L4,Countertop Dishwasher,,countertop-dishwasher,manual,,placeholder,countertop dishwasher,cases/appliances/dishwashers/countertop-dishwasher/,Derived product type
appliances.dishwashers.portable-dishwasher,appliances.dishwashers,L4,Portable Dishwasher,,portable-dishwasher,manual,,placeholder,portable dishwasher,cases/appliances/dishwashers/portable-dishwasher/,Derived product type
appliances.freezers,appliances,L2,Freezers,冷柜/冰柜,freezers,user_screenshot/manual,,planned,chest freezer; upright freezer,cases/appliances/freezers/,Generic examples only
appliances.freezers.chest-freezer,appliances.freezers,L4,Chest Freezer,,chest-freezer,manual,,placeholder,chest freezer,cases/appliances/freezers/chest-freezer/,Derived product type
appliances.freezers.upright-freezer,appliances.freezers,L4,Upright Freezer,,upright-freezer,manual,,placeholder,upright freezer,cases/appliances/freezers/upright-freezer/,Derived product type
appliances.ice-makers,appliances,L2,Ice Makers,制冰机,ice-makers,user_screenshot/manual,,planned,countertop ice maker; nugget ice maker,cases/appliances/ice-makers/,Generic examples only
appliances.ice-makers.countertop-ice-maker,appliances.ice-makers,L4,Countertop Ice Maker,,countertop-ice-maker,manual,,placeholder,countertop ice maker,cases/appliances/ice-makers/countertop-ice-maker/,Derived product type
